date,pname,dname,grade,level
1396-08-29L0,예조 의랑(禮曹議郞),예조,정4품,
1399-09-10L0,우간의 대부(右諫議大夫),문하부,종3품,
1400-08-04L0,좌산기(左散騎),문하부,정3품,
1400-11-13L0,좌산기(左散騎),문하부,정3품,
1400-11-13L0,문하부 낭사(門下府郞舍),문하부,정3품,
1404-01-18L0,좌사간 대부(左司諫大夫),문하부,정3품,
1405-01-15L0,동부대언(同副代言),승정원,정3품,
1406-01-05L0,좌부대언(左副代言),승정원,정3품,
1406-05-02L0,대언(代言),승정원,정3품,
1406-08-03L0,이조 참의(吏曹參議),이조,정3품,
1407-04-18L0,이조 참의(吏曹參議),이조,정3품,
1407-07-11L0,제학(提學),예문관,종2품,
1407-08-08L0,제학(提學),예문관,종2품,
1407-09-25L0,예문관 제학(藝文館提學),예문관,종2품,
1408-04-02L0,제학(提學),예문관,종2품,
1408-04-16L0,한성 윤(漢城尹),한성부,종2품,
1408-05-01L0,한성 윤(漢城尹),한성부,종2품,
1408-11-07L0,대사헌(大司憲),사헌부,종2품,
1408-12-05L0,대사헌(大司憲),사헌부,종2품,
1408-12-08L0,사헌부 대사헌(司憲府大司憲),사헌부,종2품,
1408-12-08L0,대사헌(大司憲),사헌부,종2품,
1408-12-12L0,사헌부 대사헌(司憲府大司憲),사헌부,종2품,
1411-12-07L1,판충주목사(判忠州牧事),지방,정3품,
1411-12-07L1,관습 도감 제조(慣習都監提調),관습도감,정2품,
1411-12-19L1,공안 부윤(恭安府尹),공안부,종2품,
1416-06-24L0,이조 참판(吏曹參判),이조,종2품,
1416-09-27L0,예조 판서(禮曹判書),예조,정2품,
1417-01-27L0,예조 판서(禮曹判書),예조,정2품,
1417-02-12L0,예조 판서(禮曹判書),예조,정2품,
1417-03-16L0,예조 판서(禮曹判書),예조,정2품,
1417-04-08L0,예조 판서(禮曹判書),예조,정2품,
1417-04-22L0,예조 판서(禮曹判書),예조,정2품,
1417-06-16L0,호조 판서(戶曹判書),호조,정2품,
1417-06-27L0,호조 판서(戶曹判書),호조,정2품,
1417-07-15L0,호조 판서(戶曹判書),호조,정2품,
1417-12-15L0,충청도 도관찰사(忠淸道都觀察使),지방,종2품,
1418-06-05L0,공조 판서 세자 우빈객(工曹判書世子右賓客),"공조, 세자시강원",정2품,
1418-07-06L0,공조 판서(工曹判書),공조,정2품,
1418-08-04L0,공조 판서(工曹判書),공조,정2품,
1418-11-08L0,대비 독책관(大妃讀冊官),임시,정2품,
1419-04-17L0,이조 판서(吏曹判書),이조,정2품,
1419-09-25L0,판한성부사(判漢城府事),한성부,정2품,
1419-12-07L0,예문관 대제학(藝文館大提學),예문관,정2품,
1420-01-29L1,이조 판서(吏曹判書),이조,정2품,
1421-05-21L0,이조 판서(吏曹判書),이조,정2품,
1421-10-02L0,이조 판서(吏曹判書),이조,정2품,
1421-10-25L0,이조 판서(吏曹判書),이조,정2품,
1421-12-07L0,의정부 찬성사(議政府贊成事),의정부,정2품,
1422-01-22L0,찬성(贊成),의정부,종1품,
1423-07-17L0,전 찬성(前贊成),의정부,종1품,
1424-03-26L0,전 찬성(前贊成),의정부,종1품,
1424-12-04L0,판좌군도총제부사(判左軍都摠制府事),삼군도총제부,종1품,
1425-04-25L0,판좌군도총제부사(判左軍都摠制府事),삼군도총제부,종1품,
1425-07-06L1,판좌군도총제부사(判左軍都摠制府事),삼군도총제부,종1품,
1425-07-21L0,판부사(判府事),미상,종1품,
1426-03-05L0,제조(提調),관습도감,정2품,
1427-01-25L0,우의정(古議政),의정부,정1품,
1427-01-27L0,우의정(古議政),의정부,정1품,
1427-02-24L0,우의정(古議政),의정부,정1품,
1427-03-14L0,우의정(古議政),의정부,정1품,
1427-04-19L0,우의정(古議政),의정부,정1품,
1427-05-04L0,우의정(古議政),의정부,정1품,
1427-05-21L0,우의정(古議政),의정부,정1품,
1427-06-09L0,우의정(古議政),의정부,정1품,
1427-06-11L0,우의정(古議政),의정부,정1품,
1427-06-18L0,우의정(古議政),의정부,정1품,
1427-07-04L0,우의정(古議政),의정부,정1품,
1427-07-15L0,우의정(古議政),의정부,정1품,
1427-07-19L0,좌의정(右議政),의정부,정1품,
1427-08-04L0,우의정(古議政),의정부,정1품,
1427-08-26L0,우의정(古議政),의정부,정1품,
1428-01-12L0,우의정(古議政),의정부,정1품,
1428-01-16L0,우의정(古議政),의정부,정1품,
1428-01-22L0,우의정(古議政),의정부,정1품,
1428-04-06L0,우의정(古議政),의정부,정1품,
1428-04-14L0,우의정(古議政),의정부,정1품,
1428-08-07L0,우의정(古議政),의정부,정1품,
1428-08-14L0,우의정(古議政),의정부,정1품,
1428-08-16L0,우의정(古議政),의정부,정1품,
1428-09-07L0,우의정(古議政),의정부,정1품,
1428-09-17L0,우의정(古議政),의정부,정1품,
1428-10-04L0,우의정(古議政),의정부,정1품,
1428-10-20L0,우의정(右議政),의정부,정1품,
1428-10-22L0,우의정(古議政),의정부,정1품,
1428-11-03L0,우의정(古議政),의정부,정1품,
1428-11-23L0,우의정(古議政),의정부,정1품,
1428-12-06L0,우의정(古議政),의정부,정1품,
1429-01-03L0,우의정(古議政),의정부,정1품,
1429-04-18L0,우의정(古議政),의정부,정1품,
1429-04-23L0,우의정(古議政),의정부,정1품,
1429-04-24L0,우의정(古議政),의정부,정1품,
1429-04-27L0,우의정(古議政),의정부,정1품,
1429-05-26L0,우의정(古議政),의정부,정1품,
1429-06-09L0,우의정(古議政),의정부,정1품,
1429-06-23L0,우의정(古議政),의정부,정1품,
1429-06-24L0,우의정(古議政),의정부,정1품,
1429-07-11L0,좌의정(右議政),의정부,정1품,
1429-07-18L0,우의정(古議政),의정부,정1품,
1429-10-16L0,우의정(古議政),의정부,정1품,
1429-10-20L0,우의정(古議政),의정부,정1품,
1429-12-09L0,우의정(古議政),의정부,정1품,
1429-12-11L0,우의정(古議政),의정부,정1품,
1429-12-15L0,우의정(古議政),의정부,정1품,
1430-01-11L0,우의정(古議政),의정부,정1품,
1430-01-12L0,우의정(古議政),의정부,정1품,
1430-01-15L0,우의정(古議政),의정부,정1품,
1430-01-21L0,우의정(古議政),의정부,정1품,
1447-11-09L0,우의정(古議政),의정부,정1품,
1430-07-27L0,우의정(古議政),의정부,정1품,
1430-07-30L0,우의정(古議政),의정부,정1품,
1430-08-10L0,우의정(古議政),의정부,정1품,
1430-08-18L0,우의정(古議政),의정부,정1품,
1430-08-24L0,우의정(古議政),의정부,정1품,
1430-09-11L0,우의정(古議政),의정부,정1품,
1430-12-01L0,우의정(古議政),의정부,정1품,
1431-01-09L0,우의정(古議政),의정부,정1품,
1431-01-11L0,우의정(古議政),의정부,정1품,
1431-01-12L0,우의정(古議政),의정부,정1품,
1431-01-30L0,우의정(古議政),의정부,정1품,
1431-02-23L0,우의정(古議政),의정부,정1품,
1431-02-25L0,우의정(古議政),의정부,정1품,
1431-02-25L0,우의정(古議政),의정부,정1품,
1431-03-06L0,우의정(古議政),의정부,정1품,
1431-03-17L0,상정소 제조(詳定所提調),상정소,정2품,
1431-03-19L0,우의정(古議政),의정부,정1품,
1431-03-20L0,우의정(古議政),의정부,정1품,
1431-12-02L0,좌의정(右議政),의정부,정1품,
1432-10-24L0,제조(提調),관습도감,정2품,
1432-12-13L0,좌의정(右議政),의정부,정1품,
1433-08-20L1,좌의정(右議政),의정부,정1품,
1433-11-11L0,좌의정(右議政),의정부,정1품,
1434-01-06L0,좌의정(右議政),의정부,정1품,